Send,SORT,Sender,Recipient,time,SenderLocation,LATITUDE,LONGITUDE,RecLocation,RecLat,RecLong,URL,
Whitman,607,Whitman; Walt,Hotten; John Camden,1868-02-18,"Washington, DC",38.907192,-77.036871,"London, GBR",51.507351,-0.127758,https://whitmanarchive.org/biography/correspondence/tei/loc.01573.html,
Whitman,608,Whitman; Walt,Routledge & Sons,1868-02-19,"Washington, DC",38.907192,-77.036871,"Manhattan, NY",40.78306,-73.971249,https://whitmanarchive.org/biography/correspondence/tei/loc.01568.html,
Not,609,Whitman; Louisa Van Velsor,Whitman; Walt,1868-02-19,"Brooklyn, NY",40.678178,-73.944158,"Washington, DC",38.907192,-77.036871,https://whitmanarchive.org/biography/correspondence/tei/duk.00514.html,
Whitman,610,Whitman; Walt,Anderson & Archer,1868-02-19,"Washington, DC",38.907192,-77.036871,,,,https://whitmanarchive.org/biography/correspondence/tei/med.00401.html,
Whitman,611,Whitman; Walt,Church; F.P.; and Church; W.C.,1868-02-21,"Washington, DC",38.907192,-77.036871,"Manhattan, NY",40.78306,-73.971249,https://whitmanarchive.org/biography/correspondence/tei/prc.00018.html,
Whitman,612,Whitman; Walt,Routledge & Sons,1868-02-22,"Washington, DC",38.907192,-77.036871,"Manhattan, NY",40.78306,-73.971249,https://whitmanarchive.org/biography/correspondence/tei/loc.01574.html,
Not,613,Wilson; Benton H. (ex-soldier),Whitman; Walt,1868-02-24,"Syracuse, NY",43.048122,-76.147424,"Washington, DC",38.907192,-77.036871,,
Whitman,614,Whitman; Walt,O'Connor; Ellen M.,1868-02-24,"Washington, DC",38.907192,-77.036871,"Manhattan, NY",40.78306,-73.971249,https://whitmanarchive.org/biography/correspondence/tei/nyp.00279.html,
Not,615,A. Simpson & Company,Whitman; Walt,1868-02-25,"Manhattan, NY",40.78306,-73.971249,"Washington, DC",38.907192,-77.036871,,
Not,616,Whitman; Louisa Van Velsor,Whitman; Walt,1868-02-25,"Brooklyn, NY",40.678178,-73.944158,"Washington, DC",38.907192,-77.036871,https://whitmanarchive.org/biography/correspondence/tei/duk.00517.html,
Not,617,Whitman; Louisa Van Velsor,Whitman; Walt,1868-02-25,"Brooklyn, NY",40.678178,-73.944158,"Washington, DC",38.907192,-77.036871,,
Not,618,Whitman; Louisa Van Velsor,Whitman; Walt,1868-03-03,"Brooklyn, NY",40.678178,-73.944158,"Washington, DC",38.907192,-77.036871,https://whitmanarchive.org/biography/correspondence/tei/duk.00516.html,
Whitman,619,Whitman; Walt,Church; F.P.; and Church; W.C.,1868-03-03,"Washington, DC",38.907192,-77.036871,"Manhattan, NY",40.78306,-73.971249,https://whitmanarchive.org/biography/correspondence/tei/prc.00019.html,
Whitman,620,Whitman; Walt,Baldwin; W.O.,1868-03-04,"Washington, DC",38.907192,-77.036871,"Washington, DC",38.907192,-77.036871,https://whitmanarchive.org/biography/correspondence/tei/csl.00001.html,
Not,621,Whitman; Louisa Van Velsor,Whitman; Walt,1868-03-06,"Brooklyn, NY",40.678178,-73.944158,"Washington, DC",38.907192,-77.036871,https://whitmanarchive.org/biography/correspondence/tei/duk.00518.html,
Whitman,622,Whitman; Walt,Hotten; John Camden,1868-03-09,"Washington, DC",38.907192,-77.036871,"London, GBR",51.507351,-0.127758,https://whitmanarchive.org/biography/correspondence/tei/prc.00020.html,
Whitman,623,Whitman; Walt,Church; F.P. (?),1868-03-10,"Washington, DC",38.907192,-77.036871,"Manhattan, NY",40.78306,-73.971249,https://whitmanarchive.org/biography/correspondence/tei/prc.00021.html,
Not,624,Whitman; Louisa Van Velsor,Whitman; Walt,1868-03-11,"Brooklyn, NY",40.678178,-73.944158,"Washington, DC",38.907192,-77.036871,https://whitmanarchive.org/biography/correspondence/tei/duk.00519.html,
Whitman,625,Whitman; Walt,Sellinghast; C.B.,1868-03-12,"Washington, DC",38.907192,-77.036871,,,,https://whitmanarchive.org/biography/correspondence/tei/tex.00187.html,
Not,626,Whitman; Louisa Van Velsor,Whitman; Walt,1868-03-13,"Brooklyn, NY",40.678178,-73.944158,"Washington, DC",38.907192,-77.036871,https://whitmanarchive.org/biography/correspondence/tei/duk.00520.html,
Whitman,627,Whitman; Walt,Sammis; O.K.,1868-03-13,"Washington, DC",38.907192,-77.036871,,,,https://whitmanarchive.org/biography/correspondence/tei/hun.00056.html,
Whitman,628,Whitman; Walt,Conway; Moncure D.,1868-03-18,"Washington, DC",38.907192,-77.036871,"London, GBR",51.507351,-0.127758,https://whitmanarchive.org/biography/correspondence/tei/loc.01570.html,
Whitman,629,Whitman; Walt,Routledge; Edmund,1868-03-22,"Washington, DC",38.907192,-77.036871,"Manhattan, NY",40.78306,-73.971249,https://whitmanarchive.org/biography/correspondence/tei/loc.01576.html,
